"customerid","surname","badge_n","sex","dob","email","password_hash","customerrole"
1,"Hargrave",1,"F","1969-06-02","Hargrave@example.com","b76bdb0e344155e24ba860e5b137c82d62c9f682657c2e9738ef077c5679b2c6","CUSTOMER"
2,"Hill",2,"F","1940-10-30","Hill@example.com","eb278fd56cfadba24b6da1a25c9fcd03c10646addab65001b8a885277544f659","CUSTOMER"
3,"Onio",3,"F","1927-06-21","Onio@example.com","454e46423063a64beacf886342f4a0eea9e378caea8fea25097c24dc6c7d3292","CUSTOMER"
4,"Boni",4,"M","1955-04-03","Boni@example.com","86b832085c20129bc7ae38a6aee87616433aeeb6eaacf42406a38bdc18a1d19d","CUSTOMER"
5,"Mitchell",5,"M","1927-05-23","Mitchell@example.com","a09cd5c293ae8562e3a296b4bec9da39d970319f43b168e90eee0b5cb4e3b075","CUSTOMER"
6,"Chu",6,"F","1978-10-27","Chu@example.com","db576a78d4db576e07d443417635ccf26c59032d06a13ca05f2c2faaf4e457b8","CUSTOMER"
7,"Bartlett",7,"M","1996-05-18","Bartlett@example.com","b7d896c249f299e49aac045f40a910a967ced870d8b3bc1eea38354480bb354e","CUSTOMER"
8,"Obinna",8,"F","1933-11-28","Obinna@example.com","7d1ca5830f019688c8e9b727e1f0e391dca26d8ca5634d43ea17511748bf9287","CUSTOMER"
9,"He",9,"F","1998-08-09","He@example.com","cda5bd8e5d5a59fbfa55e1f62556a26bb3729319fd022b30e0ca2308a221aecf","CUSTOMER"
10,"Hi",10,"M","1951-12-05","Hi@example.com","29f80d60a067d4d9688c85c1121397da6eebec98a7977c146006cd8fdcfc989b","CUSTOMER"
11,"Bearce",11,"F","1979-05-14","Bearce@example.com","e6e4e0673b7a31a3238144206d4cdf50e5c792b905cfd2f221640f05df8c52ef","CUSTOMER"
12,"Andrews",12,"M","1963-03-10","Andrews@example.com","a5fcc08456bc0877870148bbd2e6e5eaf57001d757c1df3fe734984d16563190","CUSTOMER"
13,"Kay",13,"M","1996-01-24","Kay@example.com","1c8f674e6d6969a4a38f04be74d71907c147f638d7b915b7c49e125fb85a669f","CUSTOMER"
14,"Chin",14,"F","1947-02-19","Chin@example.com","6eeaab8ce1fb54e8f9aa036e594598822fe0d346868f2fccb511cffda61a0788","CUSTOMER"
