customerid,surname,badge_n,sex,dob,email,password
1,Hargrave,1,F,02/06/1969,Hargrave@example.com,PLa8HZ6FOBgE
2,Hill,2,F,30/10/1940,Hill@example.com,83J5RhlVMoLQ
3,Onio,3,F,21/06/1927,Onio@example.com,TEZgk8rYW2Tb
4,Boni,4,M,03/04/1955,Boni@example.com,fcIMURo4thZ7
5,Mitchell,5,M,23/05/1927,Mitchell@example.com,hRfNoQqPRvXu
6,Chu,6,F,27/10/1978,Chu@example.com,kcK8Rxd55Gfv
7,Bartlett,7,M,18/05/1996,Bartlett@example.com,WIrG6dUtXHiq
8,Obinna,8,F,28/11/1933,Obinna@example.com,b9pNFpFBg5EA
9,He,9,F,09/08/1998,He@example.com,017pAEwahSbF
10,Hi,10,M,05/12/1951,Hi@example.com,3owUGwaGzMmD
11,Bearce,11,F,14/05/1979,Bearce@example.com,wQJzSO4Z1ani
12,Andrews,12,M,10/03/1963,Andrews@example.com,CP5wvrIzhUyn
13,Kay,13,M,24/01/1996,Kay@example.com,31eJItsI5Plg
14,Chin,14,F,19/02/1947,Chin@example.com,KvEEQjSxVAtH
15,Scott,15,F,14/09/2000,Scott@example.com,FOUuURqCwnYV
16,Goforth,16,F,05/05/1928,Goforth@example.com,9Hjx9xb0PmLX
17,Romeo,17,F,26/08/1972,Romeo@example.com,05Ks6IMWzdtR
18,Henderson,18,M,30/05/1976,Henderson@example.com,JehuCeZyqJIo
19,Muldrow,19,F,10/10/1981,Muldrow@example.com,D2BFmNU7bNXs
20,Hao,20,F,28/08/1979,Hao@example.com,KLYOUaQKDG3m
21,McDonald,21,M,21/06/1950,McDonald@example.com,JmcB1MW6Bkb1
22,Dellucci,22,M,22/09/1998,Dellucci@example.com,eE1FyRzl8gYe
23,Gerasimov,23,F,07/04/1995,Gerasimov@example.com,tQpQgN5eScAZ
24,Mosman,24,F,02/10/1960,Mosman@example.com,yHp8BvtJhxx6
25,Yen,25,F,05/01/1927,Yen@example.com,wPNzqlkoZ9eU
26,Maclean,26,M,14/01/1959,Maclean@example.com,KqTkeM2UV2U0
27,Young,27,F,10/11/1927,Young@example.com,dQ6xC4s3hJXc
28,Nebechi,28,M,29/07/1966,Nebechi@example.com,YuyDAmaJyzC3
29,McWilliams,29,F,31/10/1998,McWilliams@example.com,oKjSCJzWHWYR
30,Lucciano,30,M,08/04/1937,Lucciano@example.com,nJSYTuZhKavH
31,Azikiwe,31,F,14/02/1988,Azikiwe@example.com,a3gRKw51KDYe
32,Odinakachukwu,32,F,03/04/1980,Odinakachukwu@example.com,oZpgiopNv49Q
33,Sanderson,33,F,19/02/1950,Sanderson@example.com,n2Ve9AJh6OtK
34,Maggard,34,F,02/08/1995,Maggard@example.com,QLWZsWLMQlfS
35,Clements,35,F,30/11/1994,Clements@example.com,pruAaJWDRD8w
36,Lombardo,36,F,02/06/1943,Lombardo@example.com,fiVKpdBrwSw9
37,Watson,37,M,13/06/1998,Watson@example.com,TkUIcUlUUKpi
38,Lorenzo,38,M,17/08/1934,Lorenzo@example.com,mNWgnbHLv6PM
39,Armstrong,39,M,03/12/1968,Armstrong@example.com,joLpm8ycv2b5
40,Cameron,40,F,24/12/1998,Cameron@example.com,8O35vp5IQFvy
41,Hsiao,41,M,07/06/1945,Hsiao@example.com,9bKkVguygu5G
42,Clarke,42,M,26/01/2003,Clarke@example.com,yw9mOL6EiNTK
43,Osborne,43,M,13/11/1966,Osborne@example.com,Cip40ovvii4w
44,Lavine,44,M,08/02/1974,Lavine@example.com,VKm6qPr3PEdK
45,Bianchi,45,F,10/09/1942,Bianchi@example.com,0F8dXsX5hPdT
46,Tyler,46,F,17/07/1947,Tyler@example.com,b4XNCuUvNEdX
47,Martin,47,M,10/01/1928,Martin@example.com,IIjQ3gWkXmvQ
